variant,process,temp_c,vdd_v,code,iq_op_ua,iq_run_ua,f_mhz,log
as-committed,ss,-40.0,3.3,0xFF,161.1954,202.974,37.11008893432813,ss_T-040C_V3p3_code0xFF.log
as-committed,ss,-40.0,3.6,0xFF,534.5155,236.445,41.53331875513845,ss_T-040C_V3p6_code0xFF.log
as-committed,ss,27.0,3.0,0xFF,404.8336,215.447,35.10052791193979,ss_T+027C_V3p0_code0xFF.log
as-committed,ss,27.0,3.3,0xFF,432.7019,243.17,39.647454831637084,ss_T+027C_V3p3_code0xFF.log
as-committed,ss,27.0,3.6,0xFF,537.6461,276.539,43.84606261261587,ss_T+027C_V3p6_code0xFF.log
as-committed,ss,85.0,3.0,0xFF,379.0401,251.91,37.07603553367245,ss_T+085C_V3p0_code0xFF.log
as-committed,ss,85.0,3.3,0xFF,463.3378,282.318,41.31070608258837,ss_T+085C_V3p3_code0xFF.log
as-committed,ss,85.0,3.6,0xFF,557.7765,316.63,45.35883830572039,ss_T+085C_V3p6_code0xFF.log
as-committed,fs,-40.0,3.0,0xFF,339.5525,255.375,54.028529224571734,fs_T-040C_V3p0_code0xFF.log
as-committed,fs,-40.0,3.3,0xFF,585.3113,303.356,60.60639118637618,fs_T-040C_V3p3_code0xFF.log
as-committed,fs,-40.0,3.6,0xFF,736.7227,360.609,67.52864734041799,fs_T-040C_V3p6_code0xFF.log
as-committed,fs,27.0,3.0,0xFF,482.6423,307.005,57.21527533420873,fs_T+027C_V3p0_code0xFF.log
as-committed,fs,27.0,3.3,0xFF,598.9672,353.731,63.524128051937325,fs_T+027C_V3p3_code0xFF.log
as-committed,fs,27.0,3.6,0xFF,727.9521,407.791,70.18285089056774,fs_T+027C_V3p6_code0xFF.log
as-committed,fs,85.0,3.0,0xFF,525.4022,361.95,63.729298334052416,fs_T+085C_V3p0_code0xFF.log
as-committed,fs,85.0,3.3,0xFF,630.9622,407.256,67.08638143102631,fs_T+085C_V3p3_code0xFF.log
as-committed,fs,85.0,3.6,0xFF,746.1766,457.98,72.12850125269175,fs_T+085C_V3p6_code0xFF.log
as-committed,sf,-40.0,3.0,0xFF,224.9475,227.974,41.78654180847975,sf_T-040C_V3p0_code0xFF.log
as-committed,sf,-40.0,3.3,0xFF,178.1529,259.876,47.972939424329525,sf_T-040C_V3p3_code0xFF.log
as-committed,sf,-40.0,3.6,0xFF,719.9813,301.232,53.440370833421284,sf_T-040C_V3p6_code0xFF.log
as-committed,sf,27.0,3.0,0xFF,480.3006,278.097,45.370465732367784,sf_T+027C_V3p0_code0xFF.log
as-committed,sf,27.0,3.3,0xFF,592.9822,313.429,50.90752851076134,sf_T+027C_V3p3_code0xFF.log
as-committed,sf,27.0,3.6,0xFF,717.865,354.813,56.106301242586255,sf_T+027C_V3p6_code0xFF.log
